semester_id,course_id,section,days_met,date,start_time,end_time,building_id,room_no,instructor_id
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,0bbcac57-24e1-479a-93a6-38d54d12f5af,1,T,2022-12-13,14:00:00,16:30:00,4139fc29-2373-48d8-9dea-2d9261384942,110,7e9ea5c4-4da2-476d-96d5-2a71762dacae
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,0334e948-06cf-4d3f-b9b6-e4c98c4c16bd,1,R,2022-12-08,17:30:00,20:00:00,4139fc29-2373-48d8-9dea-2d9261384942,119,a9c48d3c-b783-4bfc-b31d-a5c34ba4e9c6
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,0faaa5fa-0f18-4538-806c-29da26576b02,1,M,2022-12-12,17:30:00,20:00:00,4139fc29-2373-48d8-9dea-2d9261384942,101,ccb999d5-b4db-479c-9d78-88771cb6804a
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,3bc3a416-4cbf-4359-9e0d-f6faab4891f0,1,T,2022-12-13,17:30:00,20:00:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,332,58d7f9fb-df2c-4a54-b55c-abb385fd4d39
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,ed25d8c6-1978-4ae8-8c27-2e92f1362dab,2,M,2022-12-12,08:00:00,10:30:00,bb91389e-80e4-4bd5-952f-c18269df4c11,106,e34c7ded-a7e3-416b-b470-0101460e9b0a
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,cddc7a32-6553-48b9-986e-8dd723c43d66,3,M,2022-12-12,08:00:00,10:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,331,764f0042-f34b-41d0-b09b-483562af56e5
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,cddc7a32-6553-48b9-986e-8dd723c43d66,1,R,2022-12-08,08:00:00,10:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,331,b3c6d9b2-bc05-4d8c-9274-a9c18d0c77cf
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,f668d6e2-5233-4913-b929-97266bf9f9f4,2,W,2022-12-14,08:00:00,10:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,332,29723e7b-fcef-4384-bc15-ae3ab87a3a06
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,f668d6e2-5233-4913-b929-97266bf9f9f4,4,R,2022-12-08,17:30:00,20:00:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,332,29723e7b-fcef-4384-bc15-ae3ab87a3a06
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,53f29a29-7ca6-45cd-b114-77a9fe8712dc,1,W,2022-12-14,17:30:00,20:00:00,4139fc29-2373-48d8-9dea-2d9261384942,110,fa0d41d4-d53f-4d2c-9bfd-3ffc0292417c
